,Dijkstra,Dijkstra,ABC,ABC
,TotalMinutes,TravelMinutes,TotalMinutes,TravelMinutes
count,110.0,110.0,110.0,110.0
mean,9.238207746363637,4.578332505151516,9.185887389696969,4.543836939848485
std,3.350294471410835,1.6387082091725897,3.268212061718025,1.5771261584998846
min,3.4705979,1.73529895,4.1112127,2.05560635
25%,6.867774175,3.4338870874999996,6.925019575,3.4625097875
50%,8.593726716666666,4.296863358333333,8.647991316666666,4.2904580249999995
75%,10.831417225000001,5.246581895833334,11.156349483333333,5.413951816666667
max,17.2091569,8.60457845,17.7474664,8.572932216666667
